"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Product of chanel","Add product to cart","0","0","1","0","0"
"","Product of chanel","search Product into seachbar","0","0","1","0","0"
