"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 07 10:49:38 CET 2022","Thu Apr 07 10:50:03 CET 2022","25926","","Product of chanel","","Add product to cart","","Add product to cart",""
"passed","Thu Apr 07 10:49:21 CET 2022","Thu Apr 07 10:49:37 CET 2022","16221","","Product of chanel","","search Product into seachbar","","search Product into seachbar",""
